設問ID,設問タイトル,設問タイプ,選択肢,必須フラグ,表示順,表示フラグ,説明文
Q119,地域での光害対策の実施状況（複数選択可）,checkbox,"環境省「星空観察」への参加,独自の空の明るさ調査,施設照明の光害対策（上方光束抑制等）,周辺地域への街灯対策の働きかけ,星空保護区の認定（申請中含む）,特になし",FALSE,85,TRUE,
Q118,天文台設置の主な経緯・きっかけ（複数選択可）,checkbox,"環境省「星空の街」選定,ふるさと創生事業,寄付・寄贈,地域住民からの要望,博覧会・イベント跡地利用,教育施設の整備,観光振興,不明",FALSE,86,TRUE,
Q074,施設の年間総入場者数（人）,text,,FALSE,87,TRUE,直近の会計年度（または2024年度）の実績を半角数字で入力してください。
Q075,昼間の観望会参加総人数（人）,text,,FALSE,88,TRUE,出張観望会を除く、施設内での実績。
Q076,夜間の観望会参加総人数（人）,text,,FALSE,89,TRUE,出張観望会を除く、施設内での実績。
Q077,昼間の出張観望会参加総人数（人）,text,,FALSE,90,TRUE,施設外での実施分。
Q078,夜間の出張観望会参加総人数（人）,text,,FALSE,91,TRUE,施設外での実施分。
Q079,オンライン観望会の視聴者数（人）,text,,FALSE,92,TRUE,把握している場合のみ入力。
Q091-1,望遠鏡の主たる使用目的（最も頻度が高いもの）,radio,"天体観望（社会教育・観光）,太陽観測,広報用素材撮影,学校教材の作成,新天体の捜索・観測,変光星等の学術観測,機器の調整・試験,その他",FALSE,93,TRUE,1番目にお選びください。
Q091-2,望遠鏡の主たる使用目的（2番目に頻度が高いもの）,radio,"天体観望（社会教育・観光）,太陽観測,広報用素材撮影,学校教材の作成,新天体の捜索・観測,変光星等の学術観測,機器の調整・試験,その他,該当なし",FALSE,94,TRUE,2番目にお選びください。
Q091-3,望遠鏡の主たる使用目的（3番目に頻度が高いもの）,radio,"天体観望（社会教育・観光）,太陽観測,広報用素材撮影,学校教材の作成,新天体の捜索・観測,変光星等の学術観測,機器の調整・試験,その他,該当なし",FALSE,95,TRUE,3番目にお選びください。
Q092,望遠鏡の稼働頻度,radio,"晴天時はほぼ毎日,晴天時の半分程度,晴天時の3割程度,イベント時のみ（1割以下）,ほとんど稼働していない",FALSE,96,TRUE,
Q069,望遠鏡が設置されている施設の主たる区分,radio,"天文台（単独施設）,博物館・科学館,野外活動施設（自然の家等）・公園,社会教育施設（公民館・図書館等）,学校教育施設,児童福祉施設（児童館等）,宿泊施設（ホテル・ペンション等）,その他",FALSE,97,TRUE,最も実態に近いものを1つ選んでください。
Q071,施設の設置主体,radio,"都道府県,市区町村,国・独立行政法人,民間企業・個人,財団・社団・NPO,その他",FALSE,98,TRUE,
Q070,設置主体の担当部局,radio,"教育委員会（社会教育・生涯学習）,首長部局（観光・商工）,首長部局（企画・政策）,民間・その他",FALSE,99,TRUE,
Q073,施設の経営主体（指定管理者等）,radio,"都道府県,市区町村,外郭団体（財団・社団等）,民間企業,NPO・ボランティア団体,その他",FALSE,100,TRUE,
Q072,経営・運営主体の担当部局,radio,"直営（設置主体と同じ）,指定管理者（民間企業）,指定管理者（財団・社団等）,その他",FALSE,101,TRUE,
Q105,指定管理者制度の導入状況,radio,"導入している,導入していない（直営）,検討中",FALSE,102,TRUE,
Q106,(導入している場合)指定管理の契約期間（年）,text,,FALSE,103,TRUE,半角数字で入力してください。
Q107,指定管理者の選定方法,radio,"公募プロポーザル,非公募（特命随意契約）,その他",FALSE,104,TRUE,
Q108,前回調査（2018年）以降の運営団体の変更,radio,"変更あり,変更なし,新規施設のため該当なし",FALSE,105,TRUE,
Q109,指定管理者の変更に伴う職員の入れ替わり,radio,"全員・ほとんどが入れ替わった,一部が入れ替わった,継続雇用されている,該当なし",FALSE,106,TRUE,
Q042,設置根拠となる法律（複数選択可）,checkbox,"博物館法,図書館法,学校教育法,社会教育法,その他",FALSE,107,TRUE,
Q110,施設の設置目的を定めた条例の有無,radio,"ある,ない,不明",FALSE,108,TRUE,公的施設の場合のみ回答。
Q115,博物館法上の位置づけ,radio,"登録博物館,博物館相当施設,博物館類似施設,指定なし（博物館法外）",FALSE,109,TRUE,
Q116,今後の博物館登録への意向,radio,"登録を目指している,現状維持,検討中,目指していない",FALSE,110,TRUE,
Q094,人件費・光熱費を除いた天文台の年間事業予算,radio,"0円（予算なし）,200万円未満,200万円以上～500万円未満,500万円以上～1000万円未満,1000万円以上",FALSE,111,TRUE,
Q101,天体観望会等の運営に関わるスタッフの人数（内訳）,text,,FALSE,112,TRUE,「正規：○名、非正規：○名、ボランティア：○名」のように記入してください。
Q103,正規職員の主な担当業務（複数選択可）,checkbox,"受付・事務,施設管理・清掃,利用者案内,プラネタリウム投影,学校対応,広報・SNS,観測・研究,その他",FALSE,113,TRUE,
Q104,職員が保有する資格・学位（複数選択可）,checkbox,"学芸員,教員免許,博士号,修士号,学士,社会教育主事,司書,特になし",FALSE,114,TRUE,施設全体での保有状況をお答えください。
Q100,職員の研究・観測活動の扱い,radio,"業務として認められている,一部認められている（時間外等）,業務としては認められていない",FALSE,115,TRUE,
Q113,ボランティア組織・友の会の有無,radio,"施設運営のボランティアがある,施設公認の友の会・同好会がある,両方ある,いずれもない",FALSE,116,TRUE,
Q114,（ある場合）ボランティアの運営への関与度,radio,"ボランティアなしでは運営不可（主体的）,イベント時等の補助的役割,運営には直接関与していない",FALSE,117,TRUE,
Q111,外部有識者による運営協議会・委員会の有無,radio,"ある,ない",FALSE,118,TRUE,
Q112-1,施設運営において最も重視している評価指標（1番目）,radio,"入館料収入（利益）,利用者数,経費削減,情報発信・広報効果,地域連携・市民参画,教育普及（学校・生涯学習）,調査・研究成果,その他",FALSE,119,TRUE,最も重視しているものを1つ選んでください。
Q112-2,施設運営において重視している評価指標（2番目）,radio,"入館料収入（利益）,利用者数,経費削減,情報発信・広報効果,地域連携・市民参画,教育普及（学校・生涯学習）,調査・研究成果,その他",FALSE,120,TRUE,2番目に重視しているものを1つ選んでください。
Q112-3,施設運営において重視している評価指標（3番目）,radio,"入館料収入（利益）,利用者数,経費削減,情報発信・広報効果,地域連携・市民参画,教育普及（学校・生涯学習）,調査・研究成果,その他",FALSE,121,TRUE,3番目に重視しているものを1つ選んでください。
